Timestamp	Gender	Age	How extroverted are you?	How confident are you?	How individualistic are you?	How organized are you?	How dominant are you?	How impulsive are you?	How libidinous are you?	How ambitious are you?	How altruistic are you?	Sexual orientation	How courageous are you?	Which are most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	Which are most awesome?	Which are most awesome?	Which is most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	How detail oriented are you?	
10/31/2014 9:20:28	Female	29		3	3		3	4	4	3	3	Bisexual		Vampires	Wizards	Superman		Cowboys	Nymphs		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 9:32:16	Female	25		3	2		3	2	3	4	2	Bisexual		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 9:35:14	Female	36		4	4		4	4	4	4	4	Straight		Zombies	Wizards	Superman		Ninjas	Warrior Princesses		Elves	King Arthur	Greek Mythology		
10/31/2014 9:35:41	Female	30		3	3		5	3	3	4	3	Bisexual		Vampires	Wizards	Batman		Cowboys	Witches		Elves	King Arthur	Greek Mythology		
10/31/2014 9:37:57	Female	31		5	5		4	5	4	5	2	Bisexual		Zombies	Knights	Superman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Celtic Mythology		
10/31/2014 9:38:13	Female	24		4	2		2	1	3	5	4	Straight		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Robin Hood	Celtic Mythology		
10/31/2014 9:46:24	Female			3	4		4	4	3	4	3	Bisexual		Vampires	Rogues	Batman		Ninjas	Warrior Princesses		Elves	Robin Hood	Greek Mythology		
10/31/2014 9:52:58	Female	31		4	3		3	3	4	4	3	Bisexual		Vampires	Wizards	Batman		Ninjas	Nymphs		Elves	Sherlock Holmes	Celtic Mythology		
10/31/2014 10:08:49	Male	33		5	5		5	2	4	2	3	Straight		Werewolves	Knights	Batman		Ninjas	Nymphs		Elves	Sherlock Holmes	Norse Mythology		
10/31/2014 10:18:01	Male	27		4	4		3	3	4	4	3	Bisexual		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	King Arthur	Greek Mythology		
10/31/2014 10:42:09	Female	27		4	4		5	3	3	5	4	Straight		Vampires	Knights	Batman		Pirates	Witches		Elves	Sherlock Holmes	Celtic Mythology		
10/31/2014 11:11:18	Male	32		3	3		3	2	1	2	5	Asexual		Werewolves	Wizards	Batman		Ninjas	Nymphs		Elves	Robin Hood	Celtic Mythology		
10/31/2014 11:31:46	Female	36		3	3		3	4	2	3	4	Straight		Vampires	Wizards	Superman		Ninjas	Warrior Princesses		Elves	King Arthur	Celtic Mythology		
10/31/2014 12:00:33	Male	24		3	4		4	3	4	4	3	Straight		Vampires	Knights	Batman		Ninjas	Nymphs		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 12:49:19	Male	26		5	5		5	5	5	5	2	Straight		Werewolves	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Robin Hood	Norse Mythology		
10/31/2014 12:49:34	Female	26		4	3		3	2	4	4	4	Bisexual		Vampires	Wizards	Batman		Ninjas	Nymphs		Elves	Sherlock Holmes	Norse Mythology		
10/31/2014 12:50:30	Female	26		4	4		3	4	5	4	3	Straight		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 12:51:17	Female	25		4	3		4	2	4	2	4	Straight		Vampires	Wizards	Batman		Pirates	Witches		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 14:16:34	Female	34		3	4		2	3	4	3	2	Bisexual		Werewolves	Rogues	Batman		Pirates	Warrior Princesses		Dwarves	King Arthur	Celtic Mythology		
10/31/2014 14:26:38	Female	23		4	3		4	2	4	3	3	Gay/Lesbian		Vampires	Wizards	Batman		Ninjas	Witches		Elves	Robin Hood	Greek Mythology		
