"CSA_AA.Entire_Root_.Mexican_Pop._1." "CSA_AB.Entire_Root_.Mexican_Pop._2." "CSA_AC.Entire_Root_.Mexican_Pop._3." "CSA_AD.Entire_Petioles_.Mexican_Pop._1." "CSA_AF.Buds_.Mexican_Pop._1." "CSA_AG.Buds_.Mexican_Pop._3." "CSA_AH.Mature_Flower_.Mexican_Pop._1." "CSA_AI.Mature_Flower_.Mexican_Pop._2." "CSA_AJ.Mature_Flower_.Mexican_Pop._3." "CSA_AK.Young_Leaf_.Mexican_Pop._1." "CSA_AL.Young_Leaf_.Mexican_Pop._2." "CSA_AM.Young_Leaf_.Mexican_Pop._3." "CSA_AN.Mature_Leaf_.Mexican_Pop._2." "CSA_AO.Entire_Primary_Stem_.Mexican_Pop._3." "CSA_AP.Buds_.Mexican_Pop._2." "CSA_AQ.Mature_Leaf_.Mexican_Pop._1." "CSA_AR.Mature_Leaf_.Mexican_Pop._3."
"1002_iso_2_len_2181_ver_2" 25.85 27.15 26.24 38.34 48.45 30.32 52.66 49.66 37.48 33.87 34.02 39.58 31.53 50.53 46.99 33.26 29.32
"10030_iso_1_len_335_ver_2" 0 0 0 7.5 0 0 0 0 0 0 0 4.46 7.62 4.61 0 0 0
"10031_iso_1_len_594_ver_2" 304.42 344.55 304.7 125.3 90.42 130.71 86.54 61.57 143.5 149.72 188.42 159.97 82.09 96.61 66.52 270.25 358.17
"10032_iso_1_len_461_ver_2" 71.72 100.96 86.49 143.66 134.3 106.65 88.25 89.99 118.89 89.89 114.95 95.24 77.48 136.29 71.79 124.57 147.91
"10033_iso_1_len_2104_ver_2" 6.06 5.32 4.07 7.71 4.15 2.05 3.42 3.27 4.28 1.71 3.89 1.9 0.79 9.89 2.68 5.25 5.08
"10034_iso_2_len_1130_ver_2" 469.34 404.15 500.76 21.56 44.76 30.4 61.94 63.86 35.6 56.22 29.86 72.02 107.4 30.82 33.65 69.63 34.36
"10035_iso_3_len_1730_ver_2" 30.32 29.03 34.34 58.52 35.15 45.51 75.78 52.35 43.46 112.37 54.53 108.13 134.63 27.98 23.11 83.02 64.6
"10037_iso_3_len_3146_ver_2" 38.45 32.73 37.63 36.5 24.87 23.6 42.74 39.88 26.64 38.03 29.03 45.03 38.28 38.34 28.14 34.27 40.18
"10038_iso_2_len_1677_ver_2" 15.79 17.24 13.99 38.59 32.56 21.69 25.39 27.56 24.83 10.96 16.6 13.83 10.77 42.72 20.07 16.05 19.42
"10039_iso_2_len_1552_ver_2" 14.46 13.98 11.94 20.82 16.51 11.7 16.71 15.72 18.84 11.87 16.87 16.11 11.87 23.89 17.38 17.55 24.46
"1003_iso_4_len_2930_ver_2" 65.09 64.24 69.11 66.57 63.73 48.64 73.74 77.56 53.39 46.22 40.28 49.88 37.71 58.01 47.53 31.18 33.78
"10040_iso_4_len_1867_ver_2" 80.55 78.02 75.05 75.3 44.26 33.55 40.72 40.54 40.33 31.96 36.35 42.75 44.56 88.07 42.71 41.28 36.67
"10041_iso_2_len_3225_ver_2" 20.72 19.41 20.87 21.76 9.8 9.11 16.57 14.1 13.96 17.83 16.2 21.97 19.88 24.03 14.7 18.55 15.78
"10042_iso_1_len_598_ver_2" 0 0 0 2 64.4 66.83 34.71 47.97 52.08 6.57 11.77 21.77 16.84 4.02 42.22 23.95 44.83
"10043_iso_5_len_3184_ver_2" 13.62 11.7 14.9 15.83 13.1 10.13 20.57 20.1 11.15 14.38 10.16 17.93 12.44 14.25 13.53 11.31 15.17
"10044_iso_6_len_872_ver_2" 53.85 53.54 47.06 107.5 68.08 45.75 46.72 44.84 51.05 22.7 39.9 29.3 22.54 114.03 57.86 44.16 47.87
"10046_iso_4_len_1304_ver_2" 36.23 41.64 31.05 92.26 55.57 55 39.66 39.13 58.04 36.06 72.81 46.22 36.28 58.08 40.87 84.42 108.96
"10047_iso_2_len_1189_ver_2" 14.78 14.04 11.56 15.69 10.94 9.47 9.14 8.7 12.19 13.56 22.38 14.28 15.98 20.83 12.16 20.66 27.53
"10048_iso_5_len_1182_ver_2" 201.32 182.26 282.67 117.1 32.41 31.49 98.03 72.01 26.07 110.28 24.99 120.72 127.84 119.73 24.04 30.94 37.08
"10049_iso_5_len_1426_ver_2" 9.05 9.12 7.63 66.96 48.36 21.53 54.3 36.71 57.73 105.46 74.95 113.21 75.46 78.57 31.76 115.9 102.55
"1004_iso_4_len_5255_ver_2" 49.22 47.72 52.41 57.28 30.72 22.3 48 52.61 27.24 36.18 29.93 38.54 33.5 42.9 34.01 26.9 25.83
"10050_iso_1_len_1281_ver_2" 0.76 0.68 1.34 1.73 18.13 9.49 15.1 13.11 14.62 3.58 21.3 4.35 3.33 2.64 17.53 6.36 3.59
"10051_iso_1_len_3522_ver_2" 0.82 0.5 0.65 0.4 4.39 3.47 4.62 4.96 4.26 0 0 0.33 0 0.25 10.01 0 0
"10052_iso_5_len_2617_ver_2" 13.46 12.2 11.51 13.36 21.78 14.09 26.6 24.44 23.6 36.17 33.87 28.78 40.5 12.93 19.57 47.2 27.51
"10053_iso_1_len_3566_ver_2" 5.03 4.61 5.13 6.99 6.82 4.63 11.02 9.68 6.62 13.39 7.59 13.74 10.67 8.3 6.57 10.87 9.24
"10054_iso_3_len_2410_ver_2" 159.21 131.39 155.25 8.94 3.41 2.33 4.75 3.12 1.73 1.84 0 1.29 7.86 9.69 3.14 3.27 1.03
"10056_iso_1_len_1364_ver_2" 2.8 1.88 2.39 2.65 2.97 2.03 2.43 3.11 2.42 4.68 3.92 4.11 3.37 1.04 1.1 5.22 5.7
"10057_iso_5_len_2378_ver_2" 19.16 18.22 15.92 9.52 2.4 1.04 2.22 1.56 1.8 4.09 5.87 5.28 4.24 7.2 2.29 4.14 4.6
"10058_iso_4_len_2485_ver_2" 74.86 88.18 79.46 21.05 12.68 10.76 13.19 11.31 15.15 13.19 19.83 18.16 18.93 22.46 12.16 20.49 12.8
"10059_iso_3_len_2635_ver_2" 39.93 38.38 39.54 44.62 64.62 36.55 70.78 81.05 49.48 16.38 18.96 18.77 23.01 67.15 66.91 23.15 18.5
"1005_iso_1_len_550_ver_2" 116.34 99.82 69.37 10.04 54.51 123.16 20.89 33.14 68.31 26.43 26.65 23.05 55.02 4.68 20.59 36.21 24.19
"10060_iso_1_len_1373_ver_2" 17.71 18.92 18.29 25.88 25.65 19.41 28.2 27.71 25.25 30.68 23.02 31.52 49.09 26.32 20.34 49.19 27.17
"10062_iso_4_len_2345_ver_2" 158.61 138.35 135.14 106.14 14.99 7.35 25.03 27.44 11.7 16.83 14.36 14.03 17.62 122.4 15.33 10.41 7.71
"10063_iso_5_len_3158_ver_2" 15.16 14.03 13.11 21.95 22.15 14.58 19.57 24.3 18.41 10.08 11.69 12.1 10.28 21.18 21.07 11.52 10.48
"10064_iso_5_len_1957_ver_2" 164.12 183.34 175.38 27.76 8.83 29.7 10.98 7.33 12.85 13.39 13.56 20.6 17.55 26.23 10.03 18.71 28.02
"10065_iso_1_len_1373_ver_2" 4.35 4.62 5.1 5.06 5.9 2.69 4.05 2.95 3.89 0 0 0 0 1.53 6.93 1.04 0.96
"10066_iso_3_len_426_ver_2" 145.02 182.4 123.24 279.6 209.23 180.82 111.09 99.94 197.65 92.77 215.94 107.66 106.41 339.62 142.07 213.57 243.59
"10067_iso_2_len_929_ver_2" 47.92 52.1 45.84 47.25 34.3 30.9 41.2 26.77 36.41 43.64 57.23 45.22 55.51 36.76 26.61 63.67 58.77
