"CSA_AA.Entire_Root_.Mexican_Pop._1." "CSA_AB.Entire_Root_.Mexican_Pop._2." "CSA_AC.Entire_Root_.Mexican_Pop._3." "CSA_AD.Entire_Petioles_.Mexican_Pop._1." "CSA_AF.Buds_.Mexican_Pop._1." "CSA_AG.Buds_.Mexican_Pop._3." "CSA_AH.Mature_Flower_.Mexican_Pop._1." "CSA_AI.Mature_Flower_.Mexican_Pop._2." "CSA_AJ.Mature_Flower_.Mexican_Pop._3." "CSA_AK.Young_Leaf_.Mexican_Pop._1." "CSA_AL.Young_Leaf_.Mexican_Pop._2." "CSA_AM.Young_Leaf_.Mexican_Pop._3." "CSA_AN.Mature_Leaf_.Mexican_Pop._2." "CSA_AO.Entire_Primary_Stem_.Mexican_Pop._3." "CSA_AP.Buds_.Mexican_Pop._2." "CSA_AQ.Mature_Leaf_.Mexican_Pop._1." "CSA_AR.Mature_Leaf_.Mexican_Pop._3."
"1459_iso_1_len_5127_ver_2" 6.03 5.34 6.24 9.71 8.57 6.83 12.85 13.56 8.34 7.65 8.04 8.94 8.34 7.75 8.11 8.17 7.65
"145_iso_4_len_1804_ver_2" 27.41 26.16 22.67 34.62 33.18 21.73 34.54 30.94 33.56 34.62 43.94 37.06 37.57 28 24.84 46.67 47.98
"14601_iso_1_len_886_ver_2" 0 0 0 0.86 21.78 32.16 13.85 23.16 24.46 6.32 0 3.49 0 0 23.79 3.37 9.52
"14602_iso_6_len_2407_ver_2" 6.94 6.39 5.69 6.66 6.65 3.69 5.28 5.54 4.34 3.83 6.49 5.58 5.06 7.36 4.48 6.74 4.63
"14603_iso_3_len_825_ver_2" 26.38 37.71 28.76 33.65 48.16 33.99 30.96 25.18 35.87 32.35 40.17 30.8 25.4 31.89 32.11 38.36 48.96
"14604_iso_1_len_528_ver_2" 0.96 0 2.3 9.39 428.24 595.5 421.24 498 396.91 125.49 56.07 102.93 61.77 2.51 208.74 97.78 203.09
"14605_iso_2_len_1938_ver_2" 11.42 12.28 12.85 10.37 11.07 8.04 15.73 19.37 12.98 10.08 11.58 10.1 8.83 10.66 13.92 10.3 4.65
"14606_iso_1_len_442_ver_2" 2.66 1.6 1.86 5.21 0 0 0 0 0 4.54 0 0 0 0 0 4.31 10.98
"14607_iso_1_len_331_ver_2" 140.5 115.37 160.23 26.74 45.79 191.65 14.62 19.45 79.75 72.55 83 36.88 25.83 6.11 213.58 62.1 30.89
"14608_iso_1_len_1598_ver_2" 2.25 2.54 3.05 7.64 8.9 4.11 6.75 8.65 6.38 1.94 2.43 1.72 1.82 6.78 4.76 2.72 2.25
"14609_iso_5_len_808_ver_2" 42.72 52.37 26.35 45.06 49.85 34.81 35.04 32.46 47.47 25.45 46.71 33.45 23.98 36.6 40.94 49.77 49.14
"1460_iso_2_len_1872_ver_2" 185.65 189.02 191.7 84.37 61.49 59.42 68.53 64.15 62.11 61.09 72.11 68.93 66.78 81.58 81.93 49.17 71.8
"14610_iso_1_len_361_ver_2" 33.98 45.4 33.4 61.31 218.23 153.82 158.96 127.85 338.62 588.47 532.96 418.84 554.65 62.15 167.69 1765.25 1253.83
"14611_iso_1_len_1559_ver_2" 0 0 0 1.74 37.6 77.44 38.27 38.69 70.21 19.87 11.97 15.09 15.47 0.77 67.83 29.18 26.79
"14612_iso_1_len_651_ver_2" 1.65 2.85 1.23 3.77 13.76 3.75 8.91 6.55 19.76 28.1 45.35 31.56 44.95 6.4 11.08 68.82 43.06
"14613_iso_1_len_1591_ver_2" 0.44 0 0.49 5.63 138.95 302.57 117.34 164.3 187.3 31.9 28.48 32.71 18.73 2.91 108.01 28.76 59.27
"14614_iso_1_len_729_ver_2" 2.73 4.31 3.82 40.31 33.37 29.8 31.01 21.49 37.32 10.9 39.23 22.63 24.04 40.81 28.64 31.94 13.51
"14615_iso_1_len_649_ver_2" 4.19 2.65 0 2.27 16.37 8.37 47.8 32.84 17.3 72 16.58 68.93 75.81 2.38 12.51 25.27 26.02
"14616_iso_1_len_790_ver_2" 2.87 4.05 1.5 14.31 0 0 0 0 0 0 3.45 0 2.02 7.93 0 0 2.12
"14617_iso_1_len_1372_ver_2" 25.98 26.48 24.43 17.42 8.56 7.5 11.62 8.78 21.04 77.51 86.3 83.01 137.43 21.36 5.29 121.61 74.31
"14618_iso_3_len_1692_ver_2" 11.07 10.09 10.15 13.73 11.25 8.15 8.18 7.25 8.49 5.18 7.44 7.98 4.21 17.73 8.91 12.16 12.16
"14619_iso_2_len_3517_ver_2" 7.31 7.39 7.32 12.22 10.94 7.24 16.29 18.23 9.45 10.59 7.69 10.66 5.08 11.69 14.17 5.02 8.09
"1461_iso_7_len_4422_ver_2" 23.85 24.19 23.78 49.96 62.13 60.87 78.63 69.74 53.13 12.48 31.6 15.61 17.28 27.11 50.46 15.48 13.88
"14620_iso_1_len_900_ver_2" 4.15 3.76 4.47 2.91 6.84 3.42 7.96 8.03 2.69 5.83 10.68 5.32 4.92 0.84 5.92 6.09 0
"14623_iso_1_len_633_ver_2" 0 1.3 0 0 1.65 0 0 0 0 0 0 0 0 0 0 1.7 0
"14624_iso_1_len_820_ver_2" 0 0 0 1.94 110.63 154.67 123.03 158.85 103.93 25.49 13.27 18.91 13.34 1.02 39.47 8.12 21.31
"14625_iso_1_len_544_ver_2" 3.72 5.24 4.46 9.24 7.16 5.04 4.74 7.55 5.22 0 6.04 2.07 2.03 9.46 5.51 5.08 5.02
"14626_iso_1_len_358_ver_2" 15.99 22.1 18.84 39.74 90.61 40.29 57.34 44.5 89.08 122.07 168.64 130.81 149.42 52.33 52.57 276.86 213.8
"14627_iso_1_len_320_ver_2" 0 0 0 0 5.18 0 12.3 6.57 6.2 0 0 0 0 0 7.26 0 0
"14629_iso_1_len_907_ver_2" 2.72 2.61 2.08 1.98 5.09 0 3.19 2.8 1.52 0 0 0 1.63 1.84 3.22 0 0
"1462_iso_2_len_1352_ver_2" 15.06 16.95 17.03 20.15 21.64 12.59 18.3 17.18 18.59 10.09 17.45 10.04 14.83 17.42 10.75 20.63 13.28
"14630_iso_1_len_1956_ver_2" 8.07 9.11 7.1 13.02 12.43 5.29 10.64 10.66 9.8 2.37 3.95 2.89 4.32 17.16 10.93 3.47 4.77
"14631_iso_1_len_481_ver_2" 0 0 0 5.5 76.84 39.43 90.7 42.45 221.68 706.56 540.54 688.32 1120.77 4.74 37.43 784.54 431.53
"14632_iso_1_len_1087_ver_2" 21.43 22.88 20.53 23.64 6.47 9.28 12.46 10.08 10.11 35.97 35.8 42.81 69.69 42.56 6.15 43.75 32.62
"14634_iso_1_len_1283_ver_2" 5.53 7.72 4.86 8.66 8.3 5.46 6.93 5.34 6.83 3.64 6.83 6.3 7.43 10.89 5.57 8.59 6.06
"14635_iso_1_len_292_ver_2" 0 0 0 0 81.87 38.39 23.3 32.77 39.95 0 0 0 0 0 97.99 0 0
"14636_iso_1_len_371_ver_2" 1.55 0 1.85 0 0 0 2.61 2.79 0 0 0 0 0 0 0 0 0
"14637_iso_1_len_286_ver_2" 70.71 71.06 72.23 23.45 27.81 37.27 10.76 0 40.91 0 43.28 8.75 6.93 78.04 111.47 12.85 17.78
"14638_iso_1_len_822_ver_2" 3.35 3.47 2.89 4.47 6.76 3.92 6.88 6.56 9.14 14.31 10.83 16.55 18.85 5.01 6.82 23.36 16.79
"14639_iso_1_len_591_ver_2" 0 0 0 0 51.56 59.82 33.83 52.96 46.56 10.28 6.39 18.94 9.02 0 99.54 13.62 25.67
"1463_iso_3_len_564_ver_2" 8.18 10.44 10.3 61.5 248.24 40.78 131.55 90.76 118.58 62.26 268.43 81.25 112.28 185.67 222.83 75.58 73.47
"14640_iso_3_len_1436_ver_2" 1.64 1.21 2.06 3.17 6.76 4.22 8.37 5.83 6.05 14.35 12.18 12.66 14.1 2.66 2.26 20.85 13.85
"14641_iso_2_len_602_ver_2" 8.35 8.37 6.68 7.95 13.73 7.25 9.04 4.63 6.24 5.04 20.04 4.22 7.11 8.43 8.39 21.17 26.48
"14643_iso_1_len_601_ver_2" 5.5 6.43 3.88 2.93 8.36 0 3.75 2.82 3.71 0 0 0 0 10.06 4.74 0 0
"14646_iso_7_len_2706_ver_2" 24.7 27.39 23.76 26.98 13.9 11.72 11.77 11.05 13.78 12.32 17.45 15.47 16.11 34.76 10.72 20.11 20.16
"14647_iso_2_len_632_ver_2" 73.59 87.61 67.91 145.43 33.67 30.33 26.79 24.98 33.55 21.96 31.72 23.58 23.56 128.61 27.57 36.2 42.1
"14648_iso_1_len_302_ver_2" 0 0 0 6.69 0 0 0 0 0 0 0 0 0 4.09 0 0 0
"14649_iso_1_len_642_ver_2" 4.01 5.25 3.24 10.26 6.82 2.54 3.98 4.02 5.29 0 4.68 1.89 2.16 6.97 4.82 1.98 3.86
"1464_iso_3_len_3611_ver_2" 7.67 8.16 8.37 9.82 17.02 9.21 31.6 26.92 24.67 121.43 66.75 113.69 131.05 10.12 15.36 115.86 78.92
"14650_iso_1_len_1392_ver_2" 17.91 19.42 16.81 25.71 14.9 13.17 12.74 11.07 17.3 15 13.97 16.1 15.68 25.46 16.64 22.55 18.62
"14651_iso_3_len_3550_ver_2" 25.69 22.56 24.37 13.58 9.68 9.92 14.35 12.8 11.07 11.25 11.06 14.32 13.01 13.39 11.12 10.89 10.92
"14652_iso_1_len_354_ver_2" 0 0 0 0 20.97 42.21 17.41 28.48 29.79 21.04 7.41 11.69 0 0 33.97 4.91 0
"14653_iso_1_len_568_ver_2" 0 1.46 1.99 18.03 421.04 787.77 246.58 304.53 543.4 113.81 89.69 87.11 50.51 9.45 282.68 134.95 275.51
"14654_iso_1_len_351_ver_2" 46.59 66.35 53.83 68.06 27.24 21.91 19.89 18.97 30.07 22.31 20.2 14.22 14.12 67.34 9.25 23.05 34.67
"14655_iso_6_len_1368_ver_2" 44.95 55.14 58.92 15.18 3.33 4.92 8.22 5.85 4.82 6.18 4.27 7.19 9.5 18.3 3.3 7.49 7.92
"14657_iso_2_len_1574_ver_2" 18.39 17.93 15.56 20.95 9.81 10.44 12.62 12.63 11.44 12.68 13.86 14.26 15.46 17.14 9.52 14.9 14.96
"1465_iso_9_len_1670_ver_2" 0.99 1.09 0.93 2.29 9.08 23.2 18.4 11.05 37.6 33.03 40.87 83.86 66.71 0.72 11.12 34.49 52.56
"14660_iso_1_len_301_ver_2" 45.93 40.24 31.81 8.21 0 0 0 0 4.15 6.31 0 5.03 4.91 23 0 18.71 9.59
"14661_iso_1_len_1468_ver_2" 2.65 3.09 2.38 4.12 2.27 1.7 2.97 3.6 1.7 2.94 2.98 2.47 2.21 3.57 1.96 2.71 2.23
"14662_iso_2_len_346_ver_2" 2.61 2.92 5.59 6.38 16.77 9.48 7.75 8.43 17.76 18.35 24.32 23.06 9.1 10.78 8.61 42.1 42.74
"14663_iso_1_len_944_ver_2" 18.13 20.04 16.29 24.04 23.75 15.62 17.04 17.14 20.95 14.43 11.98 15.33 13.56 29.36 21.87 17.18 15.71
"14664_iso_1_len_278_ver_2" 3.89 7.21 7.15 87.88 113.67 64.85 66.1 59.68 94.03 171.11 317.77 170.99 200.94 86.89 119.12 475.04 320.5
"14665_iso_1_len_300_ver_2" 0 0 0 0 25.94 45.12 20.9 23.1 27.1 7.72 0 6.31 0 0 40.37 14.54 16.56
"14666_iso_3_len_530_ver_2" 168.98 144.29 131.34 12.05 9.35 8.3 11.38 10.99 8.27 22.4 15.78 26.1 37.43 28.74 2.95 20.7 13.12
"14669_iso_1_len_505_ver_2" 26.61 36.78 23.99 90.63 140.82 66.92 63.66 68.61 131.55 35.74 183.75 67.2 19.24 219.95 108.9 30.25 70.9
"1466_iso_1_len_804_ver_2" 9.06 11.84 14.08 52.16 767.68 1422.94 487.4 522.07 959.41 240.07 179.22 150.34 129.19 22.98 563.37 265.99 452.39
"14670_iso_1_len_362_ver_2" 0 0 0 0 0 0 0 0 0 0 0 3.51 0 0 0 0 0
"14671_iso_2_len_1369_ver_2" 7.16 8.98 7.5 18.4 13.09 16 15.76 18.51 13.95 18.41 21.14 22.92 17.34 13.2 12.72 16.49 21.9
"14674_iso_1_len_790_ver_2" 7.89 8.7 8.33 13 20.63 31.82 25.41 13.67 22.14 25.83 29.17 23.34 25.57 11.7 9.69 29.73 29.78
"14675_iso_1_len_537_ver_2" 16.43 12.82 9.35 7.79 134.22 73.91 77.1 91.14 91.23 6.36 31.11 23.83 0 11.48 164.62 0 45.6
"14676_iso_1_len_401_ver_2" 0 0 0 3.44 0 0 2.2 0 3.62 7.8 10.34 4.97 0 0 0 7.31 0
"14677_iso_3_len_1236_ver_2" 3.21 3.9 3.79 4.03 2.96 1.71 2.32 1.72 2.49 3.08 2.37 3.75 5.09 6.69 4.17 4.16 3.99
"14678_iso_1_len_279_ver_2" 969.87 1100.12 1104.44 150.66 23.37 66.69 61.34 103.92 59.27 338.08 171.3 405.96 307.97 262 33.9 185.39 239.07
"1467_iso_5_len_1833_ver_2" 19.1 22.41 17.75 33.8 21.67 17.59 22.01 20.37 26.37 35.65 43.36 48.09 39.27 36.41 27.02 58.26 59.78
"14680_iso_5_len_1784_ver_2" 47.12 48.97 44.98 24.7 23.69 26.68 18.98 17.98 20.71 12.31 21.14 23.46 20.4 33.25 17.52 39.38 32.56
"14681_iso_2_len_917_ver_2" 0 0 0 0 0 0 1 1.06 0 0 0 1.09 1.61 0 0 0 0
"14682_iso_2_len_344_ver_2" 17.27 21.85 11.99 36.62 58.26 41.08 39.5 26.67 85.1 93.41 326.61 125.61 120.82 51.88 56.34 308.85 261.21
"14683_iso_1_len_634_ver_2" 0 0 0 0 12.67 10.08 3.05 7.36 10.71 0 0 1.92 0 0 12.21 2.62 5.87
"14684_iso_3_len_1491_ver_2" 328.78 306.92 384.86 5.51 0 0 0 0 0 0 0 0 0 6.62 0 0 0
"14685_iso_1_len_378_ver_2" 0 0 0 0 0 0 0 0 0 4.89 6.89 11.71 10.48 0 0 6.45 3.72
"14686_iso_2_len_1227_ver_2" 8.97 7.26 6.74 13.19 7.78 8.09 6.76 3.86 7.15 6.91 12.12 6.75 4.94 13.18 7.17 14.35 12.88
"14687_iso_1_len_2110_ver_2" 8.03 6.65 6.69 8.09 12.5 9.3 13.31 11.54 11.48 14.52 14.85 14.37 12.41 7.99 10.24 12.03 14.03
"14688_iso_1_len_526_ver_2" 0 0 0 0 18.26 7.06 12.22 23.3 13.74 0 0 0 2.22 0 9.68 0 0
"14689_iso_1_len_711_ver_2" 0 0 0 3.33 0 0 0 0 0 3.23 5.25 2.98 0 0 0 1.5 3.62
"1468_iso_3_len_2931_ver_2" 47.62 47.34 50.68 68.22 15.91 8.57 19.94 17.15 13.74 16.45 18.83 21.29 19.22 36.47 14.75 21.3 19.89
"14690_iso_1_len_1908_ver_2" 3.53 1.56 1.74 1.98 2.55 2.54 2.68 3.26 1.95 2.61 6.58 2.15 1.05 0.78 5.08 2.02 0.97
"14691_iso_1_len_996_ver_2" 14.58 18.55 16.55 29.4 12.93 15.65 11.66 10.35 14.63 9.63 16.27 19.44 25.09 34.65 24.88 37.41 26.84
"14693_iso_2_len_3226_ver_2" 9.4 8.67 9.57 16.18 18.43 11.49 22.14 23.1 14.72 7.33 7.58 9.68 8.93 14.36 18.29 9.59 7.89
"14694_iso_1_len_382_ver_2" 0 0 0 2.29 0 0 0 0 0 0 0 0 0 2.1 0 0 0
"14695_iso_2_len_1669_ver_2" 9.16 8.32 7.93 8.04 7.36 6.77 8.47 7.58 6.37 4.12 7.25 5.4 6.28 8.54 7.77 6.79 4.11
"14696_iso_1_len_2481_ver_2" 48.48 42.74 55.51 7.81 12.26 23.71 25.74 15.51 19.34 27.93 17.73 42.57 19.86 3.7 10.13 20.41 27.25
"14697_iso_1_len_828_ver_2" 0 0 0 0 19.64 23.49 20.68 26.5 16.61 6.15 2.99 2.78 3.44 0 16 3.15 3.22
"14698_iso_6_len_900_ver_2" 10.33 8.35 9.46 21.23 7.64 2.82 3.47 5.21 7.3 0 0 2.88 0 35.71 5.36 4.29 3.45
"14699_iso_1_len_346_ver_2" 0 0 0 2.34 12.65 9.9 6.11 6.77 12.08 0 0 0 0 14.76 25.83 0 0
"1469_iso_5_len_1437_ver_2" 63.94 74.74 63.2 78.36 72.15 62.75 58.54 51.04 66.99 70.15 98.81 61.72 75.08 70.24 65.22 90.32 114.79
"146_iso_7_len_1369_ver_2" 379.08 489.93 454.29 204.48 33.2 46.45 35.09 28.5 41.68 42.75 86.68 94.4 117.29 145.23 26.16 121.06 114.28
"14700_iso_2_len_746_ver_2" 10.18 11.34 9.8 11.56 6.52 5.6 8.03 6.47 9.65 8.28 13.32 8.89 14.88 6.88 6.69 18.06 7.94
"14701_iso_3_len_379_ver_2" 294.39 393.17 291.92 680.61 91.55 77.93 41.01 50.1 151.32 112.72 259.8 86.46 78.49 1968.44 140.18 361.71 636.11
"14702_iso_1_len_605_ver_2" 0 0 0 0 4.32 3.83 7.45 6.25 5.24 2.95 0 0 8.03 0 3.85 13.61 0
"14703_iso_1_len_465_ver_2" 6.45 4.53 8.09 10.47 2.98 0 12.08 9.59 6.43 8.2 0 8.23 12.41 4.92 4.25 6.01 0
"14705_iso_1_len_2178_ver_2" 1.67 1.88 1.84 0.84 1.34 1.44 2.46 3.24 1.81 1.49 0 2.06 1.17 0.55 1.25 1.38 1.09
"14706_iso_1_len_748_ver_2" 0 0 0 1.86 55.99 80.36 20.84 35.66 92.99 9.9 10.96 14.24 2.45 2.56 109.81 14.12 49.76
"14709_iso_1_len_1595_ver_2" 0 0 0 3.27 15.17 7.83 13.06 11.37 12.21 4.64 18.84 9.71 8.22 0.94 18.31 13.3 14.08
"1470_iso_1_len_1105_ver_2" 3.1 3.22 2.12 3.41 38.06 25.46 96.59 53.51 71.62 326.81 122.65 340.3 472.26 1.98 25.09 228.37 141.85
"14710_iso_1_len_1721_ver_2" 23.86 21.62 21.67 5.86 2.11 1.98 5.35 3.45 1.58 6.39 8.15 4.38 8.22 2.73 0 4.77 5.38
"14711_iso_1_len_292_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14712_iso_1_len_3062_ver_2" 3.82 4.03 3.77 6.04 4.1 2.46 4.03 4.09 3.51 6.49 4.92 4.99 6.55 4.94 3.3 8.17 5.56
"14714_iso_1_len_954_ver_2" 4.79 6.16 6.84 39.4 16.31 14.96 18.49 12.46 10.72 12.08 16.75 9.17 13.77 30.04 11.15 11.97 22.5
"14715_iso_1_len_1404_ver_2" 84.22 66.78 68.75 18.17 3.31 3.38 4.76 5.76 2.91 2.83 3.29 3.15 7.09 33.03 3.12 3.71 3.27
"14717_iso_3_len_428_ver_2" 23.73 23.47 20.6 77.17 49.35 32 24.93 27.18 34.6 15.38 28.29 16.07 16.07 74.59 17.98 21.84 19.5
"14718_iso_1_len_311_ver_2" 0 0 0 0 24.94 41.33 17.2 24.08 29.61 8.51 0 6.92 3.94 0 30.42 7.68 22.34
"1471_iso_4_len_3880_ver_2" 15.4 15.56 16.58 40.51 24.87 19.2 35.25 29.58 33.29 79.1 42.23 74.39 79.89 35.24 24.17 95.49 57.31
"14720_iso_1_len_789_ver_2" 3.77 2.42 3.52 3.87 4.31 2.56 7.77 10.2 3.82 3.34 0 3.18 4.34 2.23 6.31 4.29 2.4
"14721_iso_2_len_1131_ver_2" 9.45 10.21 8.3 14.1 11.7 9.26 10.16 8.56 10.71 13.51 20.97 20.02 15.93 8.06 6.68 20.49 18.48
"14722_iso_3_len_1109_ver_2" 4.85 4.79 5.71 7.1 2.2 1.91 0.95 1.57 1.55 0 0 0 2.84 7.55 1.48 1.98 2.48
"14723_iso_4_len_1189_ver_2" 64.12 60.55 52 18.28 2.31 2.84 3.21 3.09 9.45 15.74 38.29 25.83 36.59 11.96 3.49 36.48 22.58
"14724_iso_3_len_808_ver_2" 11.03 11.02 12.64 17.75 13.39 9.31 14.3 10.32 15.75 21.97 24.51 25.15 34.28 20.4 11.83 36.69 28.67
"14725_iso_1_len_1427_ver_2" 3.5 3.27 3.43 5.67 4.68 3.88 6.63 5.33 4.3 3.14 4.77 3.37 4.08 6.14 5.35 5.98 2.83
"14726_iso_1_len_967_ver_2" 57.52 59.75 53.24 14.94 14.39 12.27 9.98 9.77 10.81 0 8.39 3.08 4.21 11.83 30.5 2.58 3.2
"14729_iso_1_len_527_ver_2" 1.65 1.59 2.77 32.72 562.57 1182.85 304.26 369.11 714.05 162.55 130.82 108.17 73.98 13.64 590.32 197.96 382.61
"1472_iso_8_len_2248_ver_2" 95.94 68.52 109.97 46 31.66 24.44 60.92 67.64 24.79 32.44 22.83 36.84 35.7 26.11 47.34 13.43 8.13
"14730_iso_1_len_724_ver_2" 4.62 4.44 4.84 2.79 0 0 1.17 0 0 0 3.44 4.03 3.32 0 0 2.68 0
"14731_iso_1_len_1502_ver_2" 1.52 0.75 1.03 0.59 0.87 1.31 2.25 2.18 1.36 0 2.1 0.65 0 0 0.83 0.76 0.73
"14734_iso_1_len_1675_ver_2" 48.68 64.84 60.73 203.97 6.56 3.21 14.48 10.71 6.48 9.85 40.46 19.23 24.35 40.41 3.05 14.54 19.83
"14735_iso_1_len_1256_ver_2" 8.32 7.67 10.43 10.59 10.58 10.21 13.98 12.92 10.16 22.18 13.39 17.5 29.67 12.8 6.2 18.32 14.75
"14738_iso_3_len_1771_ver_2" 9.09 8.02 8.38 15.29 7.67 5.7 10.34 10.17 9.06 6.59 9.56 5.85 8.93 9.43 5.13 11.34 8.66
"14739_iso_1_len_590_ver_2" 43.26 46.26 41.33 64.71 53.61 57.38 40.35 39.2 54.42 34.52 54.59 35.02 38.89 76.92 54.69 46.42 49.7
"1473_iso_6_len_1169_ver_2" 12.89 14.52 10.89 32.05 47.31 26.52 39.53 37.91 58.4 62.15 67.27 59.74 82.54 44.96 42.07 133.83 79.8
"14741_iso_1_len_1902_ver_2" 5.11 5.61 4.02 8 2.48 1.03 1.57 1.66 2.55 4.15 9.27 4.11 11.75 9.55 2.81 12.83 4.51
"14742_iso_1_len_1053_ver_2" 1 1.28 0 2.67 12.3 27.9 22.09 8.85 29.37 17.84 10.24 11.39 5.68 1.58 17.26 5.08 15.5
"14743_iso_1_len_478_ver_2" 1.68 0 0 8.37 277.2 471.12 167.27 252.22 377.2 71.66 49.67 56.81 32.71 6.92 228.3 63.96 153.3
"14744_iso_2_len_1474_ver_2" 4.94 5.65 5.42 13.88 5.69 2.32 4.48 3.98 3.93 2.34 6.42 2.73 2.35 10.15 5.34 3.66 2.89
"14745_iso_2_len_863_ver_2" 35.41 34.96 30.55 34.67 7.74 6.52 8.4 9.63 10.03 4.87 12.01 5.78 9.62 48.77 13.7 9.6 6.43
"14747_iso_1_len_1921_ver_2" 0 0 0 0 29.5 42.95 19.58 29.52 24.08 10.71 3.39 8.44 2.43 0 50.93 4.8 7.75
"14748_iso_1_len_1112_ver_2" 2.95 0.85 1.62 2.03 1.37 1.55 2.31 1.05 1.34 2.03 2.64 1.69 1.32 3.05 2.72 0 1.09
"14749_iso_1_len_872_ver_2" 3.88 4.43 5.25 40.16 746.02 1333.42 480.74 551.01 905.36 235.05 165.53 150.16 111.02 13 496.38 247.49 425.35
"1474_iso_7_len_3048_ver_2" 49.74 48.27 45.2 54.51 39.82 21.34 35.11 35.97 30.86 21.45 28.64 23.83 18.91 52.94 25.08 31.13 34.94
"14750_iso_1_len_790_ver_2" 6 6.12 6.22 10.27 6.66 5.62 5.72 5.22 7.92 9.58 11.6 7.74 11.27 8.03 9.69 17.38 16.65
"14751_iso_1_len_1093_ver_2" 9.47 9.35 6.45 28.4 5.78 4.49 6.23 5.68 6.38 9.86 8.96 3.8 14.64 20.09 3.34 15.64 8.26
"14752_iso_1_len_289_ver_2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14754_iso_1_len_1056_ver_2" 0 0 0 0 9.27 0 22.24 27.49 4.56 0 0 0 0 0 11.59 0 0
"14755_iso_1_len_395_ver_2" 0 0 0 2.76 5.74 0 3.05 4.16 0 0 0 0 0 0 6.43 0 0
"14756_iso_1_len_430_ver_2" 18.27 22.07 23.5 20.49 15.92 9.4 12.65 10.3 13.69 9.12 8.07 10.64 8.39 22.48 21.39 13.41 19.23
"14757_iso_1_len_339_ver_2" 0 0 0 0 8.09 15.61 8.65 7.08 16.72 0 0 0 0 0 15.22 3.64 6.65
"14758_iso_3_len_462_ver_2" 44.32 57.17 46.6 125.04 89.21 73.66 48.83 57.74 139.46 123.71 172.82 114.55 74.25 196.95 123.92 113.07 166.21
"14759_iso_1_len_643_ver_2" 10.35 10.59 5.85 14.93 23.99 15.63 16.13 9.87 41.68 33.45 96.17 33.07 37.83 19.21 33.69 41.01 64.64
"1475_iso_3_len_2535_ver_2" 55.1 55.77 59.19 78.01 59.99 38.42 70.73 70.54 54.02 56.68 45.22 62.66 49.82 95.35 70.56 45.83 44.19
"14760_iso_1_len_1482_ver_2" 0.7 0.49 0.63 3.53 130.67 249.29 95.14 174.79 170.24 29.53 16.7 29.87 14.71 4.09 127.1 27.66 59.02
"14761_iso_1_len_351_ver_2" 0 0 0 0 18.37 31.65 8.56 8.89 27.27 6.37 0 3.03 0 0 44.69 18.09 24.57
"14762_iso_1_len_842_ver_2" 0 0 0 1.23 15.15 5.57 15.79 9.77 31.69 45.01 57.22 47.36 95.41 0 8.46 143.45 49.78
"14764_iso_1_len_365_ver_2" 0 0 0 4.41 0 0 0 0 0 0 0 0 0 0 0 0 0
"14766_iso_1_len_1979_ver_2" 24.77 21.86 19.14 7.2 6.39 4.1 8.86 10.53 6.04 8.22 1.71 5.97 21.78 3.72 2.2 23.02 8.94
"14767_iso_1_len_1396_ver_2" 0 0 0 0 17.39 3.87 8.18 8.9 6.43 0 0 0 0 0 28.87 0 0
"14768_iso_1_len_651_ver_2" 0 0 0 1.61 24.95 54.42 20.91 32.74 32.52 6.28 0 3.73 0 0 15.83 3.45 8.3
"1476_iso_1_len_3675_ver_2" 37.94 35.95 36.12 37.32 9.22 7.84 14.64 12.23 8.77 13.36 14.33 14.57 18.23 34.03 7.45 16.72 12.6
"14771_iso_1_len_1563_ver_2" 7.18 7.28 5.8 9.73 6.39 7.24 7.58 5.78 9.21 6.94 10.39 8.91 7.36 10.18 5.35 14.88 14.51
"14772_iso_1_len_648_ver_2" 2.65 3.5 2.72 11.79 16.4 11.31 7.76 9.49 12.64 5.48 3.86 3.12 3.56 15.48 13.92 6.33 4.17
"14773_iso_2_len_1354_ver_2" 13.95 10.57 12.32 44.58 2.18 0 2.28 2.32 1.53 2.22 4.13 2.25 2.4 43.31 1.3 3.64 2.46
"14775_iso_1_len_1079_ver_2" 13.23 15.14 11.39 27.44 7.37 7.14 6.24 5.39 9.55 4.99 11.35 8.26 8.57 25.75 8.18 10.62 10.11
"14777_iso_2_len_2219_ver_2" 68.93 62.32 69.66 56.21 25.75 19.72 38.65 43.3 25.47 31.82 16.93 34.59 32.53 61.26 40.24 18.84 13.72
"14778_iso_1_len_579_ver_2" 23.81 29.45 23.58 35.26 25.35 14.87 15.87 15.51 17.79 17.45 31.76 24.99 19.63 43.79 17.7 34.37 31.91
"14779_iso_1_len_1949_ver_2" 2.34 2.07 1.78 7.14 2.42 1.07 2.22 0.69 2.08 1.93 2.85 3.21 2.51 9.32 1.15 5.85 3.79
"1477_iso_1_len_2568_ver_2" 34.55 24.23 30.14 6.05 27.69 12.39 24.53 21.34 20.3 14.02 15.35 12.19 10.26 1.79 25.5 9.71 14.1
"14781_iso_1_len_1258_ver_2" 4.54 4.84 3.9 6.45 4.44 3.78 5.93 5.14 5.07 5.23 10.85 7.29 10.62 5.44 6.19 11.19 7.84
"14783_iso_1_len_959_ver_2" 7.03 5.91 6.31 3.01 2.77 0 2.14 2.23 1.32 0 0 1.97 1.53 10.2 1.45 0 0
